index,RC（text）,cddt检出数,cddt总数,未检出原因（gold本身质量问题 or RC没cover，为什么没cover）,RC_round1
803,population=名为cryokinesis的超能力；row grain=一个超能力；column role=power ID,0,2,未检出2条：RC没cover数据库字符串的大小写表示；候选中的cryokinesis与RC自然语义完全一致，只有物理值Cryokinesis造成执行差异。,
852,population=2010年在亚洲和欧洲以外举行的Grand Prix races；row grain=一个汇总结果；column role=race数量；Derivation=统计满足地域与年份条件的races,9,9,,
877,population=raceId 872中具有完赛时间的drivers；row grain=一名driver；column role=driver姓名；filter policy=按出生日期取最年轻者,1,1,,
937,population=2008年Chinese Grand Prix中排名第二的driver；row grain=一名driver的比赛结果；column role=finish time,0,9,未检出9条：gold本身质量问题且RC没cover；自然语义中的完赛第二更支持results.position=2，gold使用的rank是另一排名字段，RC不能合法否定候选。,
979,population=具有非空完赛时间的race results；row grain=一场race；column role=race number；Derivation=逐场统计finishers；filter policy=取finisher数量最多的race,5,12,未检出7条：gold本身质量问题且RC没cover；gold的COUNT(time IS NOT NULL)会计入所有非NULL布尔表达式，且问题未区分raceId与round。检出的5条按round跨多场race聚合，违反一场race的粒度。,
981,population=最年轻driver参加的qualifying races；row grain=一场qualifying race；column role=年份、race名称、日期、时间；filter policy=先取最年轻driver，再取其最早qualifying race,2,2,,
994,population=1980至2010年的Monaco Grand Prix constructor results；row grain=一个constructor汇总；column role=总分、constructor名称、国籍；Derivation=按constructor汇总points；filter policy=取总分最高者,1,1,,
1003,population=Canadian Grand Prix中statusId为3的事故结果；row grain=一个driver汇总；column role=事故次数；Derivation=逐driver统计事故次数；filter policy=返回最大事故次数,3,3,,
1022,population=potential有定义的player attribute记录；row grain=一名选中player；column role=preferred foot；filter policy=取potential最低者,2,2,,
1028,population=2009/2010赛季Scotland Premier League中客队获胜的matches；row grain=一支away team；column role=team long name；Derivation=逐away team统计胜场；filter policy=取胜场最多者,0,7,未检出7条：gold本身质量问题；候选与gold语义相同，结果差异来自最高胜场并列且都用LIMIT 1而无tie-break，RC无法判定应任取哪支并列球队。,
1076,population=Abdou Diallo与Aaron Appindangoye的player attribute记录；row grain=一个汇总结果；column role=平均ball control之差；Derivation=AVG(Abdou)-AVG(Aaron)，保留非整数精度,2,2,,
1144,population=体重最重的player及其attribute记录；row grain=一名player的一组attributes；column role=finishing、curve；filter policy=取体重最重player,0,8,未检出8条：gold本身质量问题且RC没cover；候选返回问题明确要求的两项值，gold额外返回id；同一player存在多期attributes时问题也未指定时间快照。,
1166,population=做过medical examination且有非空symptoms的patients；row grain=一名patient的一次选中examination；column role=observed symptoms、该patient的diagnosis；filter policy=取满足条件的最年轻patient,3,3,,
1173,population=1985-01-01至1995-12-31做过lab work的patients；row grain=一种illness汇总；column role=patient diagnosis；Derivation=按diagnosis统计患者记录频次；filter policy=取最常见diagnosis,4,4,,
1199,population=1997年接受检测且TP不在正常区间6到8.5内的patients；row grain=一名不同patient；column role=patient数量；Derivation=对不同patient计数,4,9,未检出5条：gold本身质量问题；这5条按TP和不同patient计数，符合问题，gold却错误过滤ALB并按Laboratory行计数。检出的候选要么错误排除边界6/8.5，要么按检测记录而非patient计数。,
1250,population=诊断为SLE且至少一次U-PRO满足0到30开区间的patients；row grain=一名不同patient；column role=patient ID,2,2,无未检出；但gold对文本型U-PRO直接比较，错误纳入100/300等值，候选的数值转换更符合自然语义。两条候选仍因同一patient的多次检测而重复输出，违反row grain。,
1322,population=由超过10名Student_Club成员参加且type为Meeting的events；row grain=一个汇总结果；column role=meeting数量；Derivation=先按event统计参加成员数，再统计合格meetings,1,10,未检出9条：gold本身质量问题；9条候选正确返回4个meetings，gold却返回非Meeting的event names。检出的C4按event输出多行参加人数，而非meeting总数。,
1472,population=2012年Segment为LAM的customers；row grain=一名customer汇总；column role=customer ID；Derivation=逐customer汇总2012全年consumption；filter policy=取全年总consumption最低者,9,9,,
1475,population=2012年Segment为KAM的customers；row grain=一名customer汇总；column role=customer数量；Derivation=逐customer汇总2012全年consumption，再统计总额低于30000的customers,10,10,,
1501,population=至少有一笔transaction发生在2013年6月的gas stations；row grain=一个不同country；column role=gas station country,0,10,未检出10条：gold本身质量问题；候选都按transactions_1k.Date判断交易发生月份，符合自然语义。gold仅按CustomerID连接yearmonth=201306，不能保证对应transaction发生在该月。,
1524,population=在2012-08-24发生且金额为548.4的transaction所对应customer；row grain=一名customer；column role=customer nationality,5,5,无未检出；但gold也不满足RC：gold返回gas station country，候选返回customer currency，二者都不是customer nationality。,
