index,RC（text）,cddt检出数,cddt总数,未检出原因（gold本身质量问题 or RC没cover，为什么没cover）
392,population=稀有度为uncommon且具有ruling记录的卡牌；row grain=一张不同卡牌；column role=卡牌名称；filter policy=按ruling日期升序取前3张不同卡牌；Meta review=rulings.date表示裁定日期，同一卡牌可有多条ruling，因此排序取3张卡牌前必须保持卡牌唯一性,5,5,
429,population=编号为206的set；row grain=一个set语言版本；column role=语言、扩展类型；Meta review=sets.id与set_translations.id都被描述为标识set的唯一ID，Meta无法确定Q中的206属于哪一层,0,7,未检出7条：RC-Meta仍不能合法指定206必须落到set_translations.id；将其作为硬映射会形成gold字段注入。
435,population=边框颜色为黑色的卡牌；row grain=一张卡牌；column role=卡牌ID；Meta review=cards.id是卡牌唯一标识，borderColor表示卡牌边框颜色,1,1,
444,population=带boros watermark的卡牌及其外文版本；row grain=一个卡牌外文版本；column role=外文名称、卡牌本身的类型；Meta review=foreign_data.name表示卡牌外文名称；cards.type表示卡牌可见类型，foreign_data.type表示外文版本中的类型表达；Q只把foreign修饰在name上，type仍归属于card实体,3,9,未检出6条：这些候选返回foreign name与card自身type，符合RC。检出的C2/C7/C9返回foreign_data中的外文type，改变了Q中type的实体表达。gold错误返回cards.name。
504,population=属于World Championship Decks 2004且converted mana cost为3的卡牌；row grain=一个汇总结果；column role=卡牌数量；Derivation=统计满足条件的卡牌数；Meta review=cards.setCode与sets.code都表示set printing code，sets.id则是另一整数标识，二者不能直接等同连接,1,1,
514,population=duel格式合法的卡牌；row grain=一张不同卡牌；column role=卡牌名称；filter policy=按unconverted mana cost降序取前10张不同卡牌；Meta review=manaCost明确是unconverted mana cost，convertedManaCost是另一指标；uuid唯一标识记录而name表示卡牌名称，结果需要保持名称级卡牌唯一性,10,10,
523,population=2012-01-01至2015-12-31发布的sets及其语言版本；row grain=一个汇总结果；column role=年均发布set数、最常见语言；Derivation=区间set数按年度平均并按语言频次取众数；Meta review=sets.releaseDate是set发布日期，sets.id标识set，set_translations.language表示set语言；语言统计与set计数都应受同一发布日期范围约束,3,11,未检出8条：这些候选得到符合Meta语义的26和Spanish。检出的候选分别遗漏年均值、把语言统计扩到全库或按translation行重复计算set数；gold公式本身不符合Meta语义。
646,population=score大于60的评论及其所属post；row grain=一条合格评论；column role=post标题、评论作者的display name；Meta review=comments.UserDisplayName明确表示评论作者的display name，users.DisplayName表示用户账户的profile display name；Q要求的是实际发表评论者的署名，不能通过连接用户账户丢失评论作者,5,8,未检出3条：C1/C2/C6直接返回评论保存的作者display name。检出的5条强制依赖用户账户并在该实例中丢失合格评论作者；gold的连接和Score作用对象本身也存在质量问题。
667,population=具有post link的posts；row grain=一个post；column role=post标题；filter policy=取CreationDate最早的post link所指向的post；Meta review=postLinks.CreationDate表示post link的创建时间，posts.CreaionDate表示post自身创建时间,0,7,未检出7条：全部候选按post-link创建时间选择，符合Meta复核RC；gold按post创建时间排序。
693,population=创建时间最新的用户；row grain=一个用户汇总；column role=post数量、comment数量；Derivation=分别统计该用户发布的posts和comments；filter policy=取创建时间最新的用户；Meta review=posts.OwnerUserId与comments.UserId分别表示post owner和comment author，两项计数是相互独立的集合统计,3,8,未检出5条：这些候选分别独立计算两项计数，符合RC。检出的3条同时连接posts与comments，产生集合乘法并破坏独立计数。gold本身只返回一项且存在重复计数。
715,population=down votes为0且至少有一条score在1到5之间评论的用户；row grain=一个用户；column role=该用户账户的display name；Meta review=DownVotes属于user实体，因此Q中的display names也归属于这些user实体；comments.UserDisplayName虽同样描述为user display name，但它是评论记录中的署名表示，不能覆盖Q已确定的owner,3,3,
772,population=Dark Horse Comics出版的女性超级英雄；row grain=一个超级英雄；column role=眼睛颜色ID、头发颜色ID、皮肤颜色ID；Meta review=superhero中的三个colour_id表示颜色标识，colour.colour表示颜色文本名称，二者输出形式不同,10,10,
803,population=名为cryokinesis的超能力；row grain=一个超能力；column role=power ID；Meta review=Meta只说明power_name是超能力名称，没有提供具体值或大小写规则,0,2,未检出2条：候选中的cryokinesis在自然语义上满足RC；Meta无法提供数据库值Cryokinesis的大小写信息。
852,population=2010年在亚洲和欧洲以外举行的Grand Prix races；row grain=一个汇总结果；column role=race数量；Derivation=统计满足地域与年份条件的races；Meta review=circuits.country存储国家而非洲名，因此不能通过排除字面值Asia与Europe表达洲际范围，且排除国家集合必须完整,9,9,
877,population=raceId 872中具有完赛时间的drivers；row grain=一名driver；column role=driver姓名；filter policy=按出生日期取最年轻者；Meta review=driverId是唯一编号，forename与surname共同表达driver姓名；dob表示出生日期,1,1,
937,population=2008年Chinese Grand Prix中完赛名次第二的driver；row grain=一名driver的比赛结果；column role=finish time；Meta review=position表示finishing position，rank表示按fastest-lap speed形成的排名，因此Q中的完赛第二应按finishing position解释,0,9,未检出9条：全部候选使用position=2并返回finish time，满足Meta复核RC；gold使用rank=2，本身与Meta冲突。
979,population=具有非空完赛时间的race results；row grain=一场race；column role=该race的唯一识别编号；Derivation=逐场统计finishers；filter policy=取finisher数量最多的race；Meta review=race number指一场race的唯一识别编号而不是赛季round；results.time有值表示driver完成比赛,11,12,未检出1条：C3返回raceId，逐race统计非空time并取最大值，完全满足RC。其余11条返回round，其中5条还跨race合并相同round。
981,population=最年轻driver参加的qualifying races；row grain=一场qualifying race；column role=年份、race名称、日期、时间；filter policy=先取最年轻driver，再取其最早qualifying race；Meta review=driver dob表示出生日期且值越晚越年轻；races.name是race名称，driver surname不是race名称,2,2,
994,population=1980至2010年的Monaco Grand Prix constructor results；row grain=一个constructor汇总；column role=总分、constructor名称、国籍；Derivation=按constructor汇总points；filter policy=取总分最高者；Meta review=races.name表示race名称，circuits.name表示赛道名称；Monaco Grand Prix是race限定而非circuit限定,1,1,
1003,population=Canadian Grand Prix中statusId为3的事故结果；row grain=一个driver汇总；column role=事故次数；Derivation=逐driver统计事故次数；filter policy=返回最大事故次数；Meta review=raceId唯一标识一场race，而races.name表示race名称；Canadian Grand Prix语义覆盖同名race记录，不能任取一个raceId代替全部记录,3,3,
1022,population=potential有定义的player attribute记录；row grain=一名选中player；column role=preferred foot；filter policy=取potential最低者；Meta review=potential是0到100的player潜力分数，preferred_foot是进攻时惯用脚；缺失potential不是一个可比较的最低分数,2,2,
1028,population=2009/2010赛季Scotland Premier League中客队获胜的matches；row grain=一支away team；column role=team long name；Derivation=逐away team统计胜场；filter policy=取胜场最多者；Meta review=away_team_goal与home_team_goal定义客队胜负，away_team_api_id标识客队，team_long_name是输出名称；Meta不提供并列选择规则,0,7,未检出7条：候选与RC语义相同；结果差异来自最高胜场并列且没有tie-break，Meta也不能指定任取哪支球队。
1076,population=Abdou Diallo与Aaron Appindangoye的player attribute记录；row grain=一个汇总结果；column role=平均ball control之差；Derivation=AVG(Abdou)-AVG(Aaron)，保留非整数精度；Meta review=ball_control是0到100的整数评分，因此整数SUM除以整数COUNT会截断平均值，不能代表真实平均分差,2,2,
1144,population=体重最重的player及其attribute记录；row grain=一名player的一组attributes；column role=finishing、curve；filter policy=取体重最重player；Meta review=weight属于Player，finishing与curve属于带date的Player_Attributes；同一player可能有多个时间快照，而Q未指定快照,0,8,未检出8条：候选均返回Q要求的两项指标；Meta进一步确认了时间快照歧义，无法据此指定gold采用的任意一行。
1166,population=做过medical examination且有非空symptoms的patients；row grain=一名patient的一次选中examination；column role=observed symptoms、该patient的diagnosis；filter policy=取满足条件的最年轻patient；Meta review=Birthday与Diagnosis属于Patient实体，Symptoms属于Examination事件；即使两个Diagnosis字段都写作disease names，Q中的their diagnosis仍归属于patient，不能由Examination.Diagnosis替代,3,3,
1173,population=1985-01-01至1995-12-31做过lab work的patients；row grain=一种illness汇总；column role=patient diagnosis；Derivation=按diagnosis统计患者记录频次；filter policy=取最常见diagnosis；Meta review=Examination Date限定检查事件，而Q询问的是这些patients的illness；Diagnosis的自然owner是patient，Examination中的同名描述不能覆盖该实体归属,4,4,
1199,population=1997年接受检测且TP不在正常区间6到8.5内的patients；row grain=一名不同patient；column role=patient数量；Derivation=对不同patient计数；Meta review=TP表示total protein且正常范围为6.0到8.5开区间；ALB表示albumin且正常范围为3.5到5.5,4,9,未检出5条：这些候选正确使用TP并按不同patient计数。检出的候选要么错误排除边界6/8.5，要么按Laboratory记录而非patient计数；gold误用ALB。
1250,population=诊断为SLE且至少一次U-PRO满足0到30开区间的patients；row grain=一名不同patient；column role=patient ID；Meta review=U-PRO表示proteinuria、存储类型为text、正常范围为0到30开区间，因此需要数值语义解释；同一patient可以有多条Laboratory记录,2,2,无未检出；两条候选均重复输出同一patient，违反row grain。Meta同时说明数值转换方向合理，而gold直接进行文本比较会错误纳入100/300。
1322,population=由超过10名Student_Club成员参加且type为Meeting的events；row grain=一个汇总结果；column role=meeting数量；Derivation=先按event统计参加成员数，再统计合格meetings；Meta review=attendance的link_to_event与link_to_member分别标识被参加的event和参加member，event.type表示event类别,1,10,未检出9条：这些候选正确先按event统计member再计算meeting总数。检出的C4按event输出多行参加人数；gold返回非Meeting event names。
1472,population=2012年Segment为LAM的customers；row grain=一名customer汇总；column role=customer ID；Derivation=逐customer汇总2012全年consumption；filter policy=取全年总consumption最低者；Meta review=yearmonth以CustomerID、Date和Consumption记录客户分期消费，2012年度指标必须先跨该年度记录按customer汇总,9,9,
1475,population=2012年Segment为KAM的customers；row grain=一名customer汇总；column role=customer数量；Derivation=逐customer汇总2012全年consumption，再统计总额低于30000的customers；Meta review=yearmonth的Consumption是按CustomerID与Date组织的分期记录，30000阈值作用于customer的年度汇总而非单条记录,10,10,
1501,population=至少有一笔transaction发生在2013年6月的gas stations；row grain=一个不同country；column role=gas station country；Meta review=transactions_1k.Date是transaction自身日期，yearmonth.Date属于客户消费汇总记录；交易发生月份应由transaction日期决定,0,10,未检出10条：候选全部按transaction自身Date判断2013年6月，符合Meta复核RC；gold按CustomerID连接yearmonth月份，不能证明对应transaction发生在该月。
1524,population=在2012-08-24发生且金额为548.4的transaction所对应customer；row grain=一名customer；column role=customer nationality；Meta review=customers仅提供CustomerID、Segment与Currency，没有nationality；gasstations.Country表示gas station国家而非customer国籍,5,5,无未检出；所有候选用Currency冒充nationality，违反column role；gold使用gas-station Country，同样与RC冲突。
,,138,276,
,,,0.5,
